iter	Passed	Remaining
1401	13078	5578
1402	13088	5569
1403	13097	5559
1404	13106	5550
1405	13115	5541
1406	13124	5531
1407	13134	5522
1408	13143	5513
1409	13153	5503
1410	13162	5494
1411	13172	5485
1412	13181	5475
1413	13189	5466
1414	13199	5456
1415	13208	5447
1416	13217	5438
1417	13226	5428
1418	13235	5419
1419	13244	5409
1420	13252	5400
1421	13262	5390
1422	13271	5381
1423	13281	5372
1424	13290	5362
1425	13300	5353
1426	13309	5344
1427	13318	5335
1428	13327	5325
1429	13337	5316
1430	13346	5306
1431	13355	5297
1432	13365	5288
1433	13374	5278
1434	13383	5269
1435	13392	5260
1436	13401	5250
1437	13410	5241
1438	13419	5231
1439	13428	5222
1440	13437	5212
1441	13446	5203
1442	13456	5194
1443	13465	5184
1444	13475	5175
1445	13484	5166
1446	13494	5157
1447	13503	5147
1448	13512	5138
1449	13521	5128
1450	13529	5119
1451	13538	5109
1452	13547	5100
1453	13556	5090
1454	13565	5081
1455	13574	5071
1456	13583	5062
1457	13592	5053
1458	13601	5043
1459	13610	5033
1460	13619	5024
1461	13628	5015
1462	13636	5005
1463	13646	4996
1464	13655	4986
1465	13664	4977
1466	13673	4967
1467	13683	4958
1468	13692	4949
1469	13700	4939
1470	13709	4930
1471	13719	4920
1472	13728	4911
1473	13737	4902
1474	13746	4892
1475	13755	4883
1476	13764	4874
1477	13773	4864
1478	13782	4855
1479	13792	4845
1480	13801	4836
1481	13810	4827
1482	13819	4817
1483	13829	4808
1484	13837	4798
1485	13847	4789
1486	13856	4780
1487	13866	4771
1488	13875	4761
1489	13884	4752
1490	13894	4743
1491	13903	4734
1492	13913	4724
1493	13922	4715
1494	13931	4705
1495	13940	4696
1496	13949	4687
1497	13958	4677
1498	13967	4668
1499	13976	4658
1500	13986	4649
1501	13995	4640
1502	14004	4630
1503	14013	4621
1504	14022	4612
1505	14032	4602
1506	14041	4593
1507	14050	4584
1508	14060	4575
1509	14069	4565
1510	14079	4556
1511	14088	4547
1512	14097	4537
1513	14107	4528
1514	14116	4519
1515	14125	4509
1516	14134	4500
1517	14143	4490
1518	14153	4481
1519	14161	4472
1520	14171	4463
1521	14180	4453
1522	14189	4444
1523	14199	4434
1524	14208	4425
1525	14217	4416
1526	14226	4406
1527	14235	4397
1528	14244	4388
1529	14254	4378
1530	14263	4369
1531	14272	4359
1532	14281	4350
1533	14290	4341
1534	14300	4331
1535	14309	4322
1536	14318	4313
1537	14327	4303
1538	14336	4294
1539	14345	4285
1540	14354	4275
1541	14363	4266
1542	14373	4256
1543	14382	4247
1544	14392	4238
1545	14401	4229
1546	14410	4219
1547	14419	4210
1548	14428	4200
1549	14437	4191
1550	14446	4182
1551	14455	4172
1552	14466	4163
1553	14475	4154
1554	14485	4145
1555	14495	4136
1556	14506	4127
1557	14515	4118
1558	14524	4108
1559	14534	4099
1560	14542	4089
1561	14551	4080
1562	14560	4070
1563	14569	4061
1564	14578	4052
1565	14587	4042
1566	14597	4033
1567	14606	4024
1568	14616	4015
1569	14625	4005
1570	14634	3996
1571	14644	3987
1572	14654	3977
1573	14662	3968
1574	14672	3959
1575	14681	3949
1576	14690	3940
1577	14699	3931
1578	14708	3921
1579	14717	3912
1580	14726	3902
1581	14735	3893
1582	14744	3884
1583	14753	3874
1584	14763	3865
1585	14773	3856
1586	14782	3846
1587	14791	3837
1588	14800	3828
1589	14810	3818
1590	14819	3809
1591	14828	3800
1592	14837	3790
1593	14846	3781
1594	14856	3772
1595	14865	3762
1596	14874	3753
1597	14883	3744
1598	14893	3734
1599	14902	3725
1600	14911	3716
1601	14920	3706
1602	14929	3697
1603	14938	3688
1604	14947	3678
1605	14957	3669
1606	14966	3660
1607	14975	3650
1608	14984	3641
1609	14993	3631
1610	15002	3622
1611	15011	3613
1612	15020	3603
1613	15030	3594
1614	15039	3585
1615	15047	3575
1616	15057	3566
1617	15066	3557
1618	15075	3547
1619	15085	3538
1620	15095	3529
1621	15104	3519
1622	15113	3510
1623	15122	3501
1624	15131	3491
1625	15140	3482
1626	15149	3473
1627	15158	3463
1628	15167	3454
1629	15176	3445
1630	15185	3435
1631	15195	3426
1632	15204	3417
1633	15213	3407
1634	15223	3398
1635	15232	3389
1636	15241	3379
1637	15250	3370
1638	15259	3361
1639	15269	3351
1640	15277	3342
1641	15286	3332
1642	15296	3323
1643	15305	3314
1644	15314	3304
1645	15323	3295
1646	15332	3286
1647	15341	3276
1648	15351	3267
1649	15360	3258
1650	15369	3248
1651	15378	3239
1652	15387	3230
1653	15396	3220
1654	15405	3211
1655	15414	3202
1656	15423	3192
1657	15432	3183
1658	15441	3174
1659	15451	3164
1660	15460	3155
1661	15469	3146
1662	15478	3136
1663	15487	3127
1664	15496	3117
1665	15505	3108
1666	15514	3099
1667	15524	3089
1668	15533	3080
